RAO vs Freq.,,,,,,
Wave Frequency (Hz),Surge (m/m),Sway (m/m),Heave (m/m),Roll (deg/m),Pitch (m/m),Yaw (deg/m)
0.01592,0.9086,2.47E-07,1.0008,5.30E-07,0.07017,1.29E-04
0.02183,0.78742,2.43E-06,1.00084,9.03E-07,0.11429,1.13E-04
0.02774,0.75588,3.65E-06,0.99943,1.32E-06,0.17709,1.10E-04
0.03365,0.74359,3.67E-06,0.99512,1.08E-06,0.25648,1.11E-04
0.03956,0.72891,6.99E-06,0.9865,2.55E-07,0.34815,1.27E-04
0.04547,0.70757,1.18E-05,0.97121,2.17E-06,0.44829,1.48E-04
0.05138,0.67762,1.75E-05,0.94616,7.53E-06,0.55203,1.85E-04
0.05729,0.63742,2.56E-05,0.90713,1.73E-05,0.65274,2.31E-04
0.0632,0.58608,3.48E-05,0.84895,3.28E-05,0.74234,2.87E-04
0.06912,0.52415,4.45E-05,0.76726,5.50E-05,0.81242,3.48E-04
0.07503,0.45392,5.29E-05,0.66197,8.22E-05,0.85609,4.07E-04
0.08094,0.3792,5.98E-05,0.54085,1.15E-04,0.86943,4.71E-04
0.08685,0.30446,6.80E-05,0.41969,1.59E-04,0.85209,5.64E-04
0.09276,0.23423,8.10E-05,0.31761,2.30E-04,0.807,7.17E-04
0.09867,0.17296,9.84E-05,0.24839,3.39E-04,0.74039,9.24E-04
0.10458,0.12526,1.15E-04,0.21139,4.83E-04,0.66265,1.15E-03
0.11049,0.09494,1.25E-04,0.19263,6.49E-04,0.58878,1.36E-03
0.1164,0.0812,1.26E-04,0.17813,8.20E-04,0.5358,1.50E-03
0.12232,0.07642,1.18E-04,0.16103,9.70E-04,0.51514,1.56E-03
0.12823,0.07223,1.00E-04,0.14017,1.07E-03,0.52321,1.52E-03
0.13414,0.06427,7.56E-05,0.11788,1.06E-03,0.54056,1.37E-03
0.14005,0.05184,4.70E-05,0.09804,9.20E-04,0.5436,1.12E-03
0.14596,0.03673,2.23E-05,0.0834,6.17E-04,0.5191,7.51E-04
0.15187,0.02211,7.74E-06,0.07335,2.57E-04,0.47234,3.03E-04
0.15778,0.01115,9.21E-06,0.06524,3.31E-04,0.42131,2.88E-04
0.16369,5.75E-03,3.30E-05,0.05753,5.14E-04,0.37796,7.17E-04
0.1696,4.49E-03,5.36E-05,0.05041,5.29E-04,0.3393,1.02E-03
0.17551,4.36E-03,6.17E-05,0.0445,4.25E-04,0.30063,1.14E-03
0.18143,5.68E-03,5.47E-05,0.03975,2.81E-04,0.26301,1.06E-03
0.18734,8.21E-03,3.71E-05,0.03569,1.57E-04,0.22985,7.85E-04
0.19325,0.01038,1.61E-05,0.032,7.08E-05,0.20301,3.65E-04
0.19916,0.01128,8.73E-06,0.02862,3.61E-05,0.18046,9.17E-05
0.20507,0.01107,2.67E-05,0.02572,4.31E-05,0.15943,4.91E-04
0.21098,0.01082,3.80E-05,0.02264,1.01E-04,0.13794,8.74E-04
0.21689,5.11E-03,1.26E-04,0.02717,2.60E-03,0.32,2.30E-03
0.2228,0.01028,1.68E-05,0.02026,6.29E-05,0.11916,3.45E-04
0.22871,0.0103,1.08E-04,0.01909,7.10E-04,0.1081,2.55E-03
0.23463,9.68E-03,6.15E-06,0.01691,7.18E-05,0.09481,1.08E-04
0.24054,9.19E-03,2.61E-05,0.01561,1.19E-04,0.0852,5.65E-04
0.24645,9.28E-03,1.81E-06,0.01406,5.42E-05,0.07795,1.54E-04
0.25236,8.95E-03,7.55E-05,0.01266,2.22E-04,0.07057,1.22E-03
0.25827,8.28E-03,1.13E-05,0.01235,3.99E-05,0.06371,1.22E-04
0.26418,7.87E-03,6.38E-06,0.0111,2.31E-05,0.05622,1.98E-04
0.27009,7.65E-03,5.49E-06,9.94E-03,4.52E-05,0.05409,1.32E-04
0.276,7.25E-03,5.12E-06,9.77E-03,2.76E-05,0.04926,8.09E-05
0.28191,5.93E-03,9.79E-06,9.50E-03,1.03E-04,0.06602,1.24E-03
0.28783,6.50E-03,2.87E-06,7.89E-03,3.53E-05,0.04193,3.57E-04
0.29374,6.28E-03,5.82E-06,7.76E-03,1.02E-05,0.03874,3.12E-04
0.29965,5.86E-03,1.48E-06,7.14E-03,2.82E-05,0.03883,8.84E-05
0.30556,5.58E-03,7.55E-06,6.22E-03,6.39E-06,0.03455,6.88E-04
0.31147,5.37E-03,2.44E-06,6.32E-03,2.08E-05,0.03086,1.82E-04
0.31738,5.08E-03,1.14E-05,5.85E-03,6.28E-05,0.02973,3.57E-03
0.32329,4.93E-03,1.88E-06,4.35E-03,1.74E-05,0.02805,2.47E-04
0.3292,4.53E-03,2.45E-05,6.10E-03,5.77E-05,0.02409,3.08E-03
0.33511,4.36E-03,3.73E-06,4.87E-03,1.20E-05,0.02451,1.54E-04
0.34103,4.05E-03,3.85E-06,5.03E-03,9.95E-06,0.02162,1.13E-04
0.34694,4.01E-03,6.66E-06,4.61E-03,1.75E-05,0.0207,1.59E-04
0.35285,3.87E-03,7.48E-06,4.17E-03,3.14E-05,0.0211,7.92E-04
0.35876,3.63E-03,1.94E-06,4.02E-03,1.06E-05,0.01901,1.60E-04
0.36467,3.41E-03,3.07E-06,3.65E-03,1.27E-05,0.01777,1.02E-04
